Latitude,Longitude,Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail Flags,Tail Twitches,Approaches,Indifferent,Runs From
40.78134773525070000000,-73.96756343268770000000,19D-AM-1007-01,AM,2018-10-07,Juvenile,Gray,Ground Plane,,false,false,true,true,false,,false,false,false,false,false,false,false,false
40.79828863486960000000,-73.95849706432130000000,40B-AM-1019-03,AM,2018-10-19,Juvenile,Gray,Ground Plane,,true,true,false,false,false,,false,false,false,false,true,true,false,false
40.76819543669110000000,-73.97602982411780000000,3E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,false,false,true,false
40.79723991338160000000,-73.95688021498180000000,39C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,true,false
40.76905264411090000000,-73.97246424363940000000,6G-AM-1008-02,AM,2018-10-08,Juvenile,Gray,Ground Plane,bush,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.77604327200170000000,-73.96901758385340000000,14F-AM-1007-05,AM,2018-10-07,Juvenile,Gray,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,false,true,false
40.76902809859560000000,-73.97040828213560000000,6I-PM-1013-06,PM,2018-10-13,Adult,Gray,Ground Plane,,false,false,false,false,false,playing with #5,false,false,false,false,true,false,false,false
40.77688116400210000000,-73.96849107122720000000,15F-PM-1010-05,PM,2018-10-10,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.77352326488720000000,-73.97686748129420000000,8B-PM-1012-02,PM,2018-10-12,Adult,Gray,Ground Plane,hiding in bushes,false,false,false,false,true,,false,false,false,false,false,false,false,true
40.76988852413490000000,-73.97970848666130000000,3A-PM-1017-06,PM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true
40.79231304027930000000,-73.95281926797700000000,36I-AM-1017-02,AM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.76926026287450000000,-73.97456300384920000000,5E-AM-1008-06,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,true,false,false
40.79033657886940000000,-73.95950023395080000000,32E-PM-1017-13,PM,2018-10-17,Adult,Gray,,,false,false,false,true,true,,false,false,false,false,false,false,true,false
40.76894866579630000000,-73.97418249922940000000,5F-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,false,false,false,false,false,hiding nut,false,false,false,false,true,false,true,false
40.77613935517810000000,-73.97492439011890000000,11B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.77801434437790000000,-73.96838132555900000000,16E-PM-1018-06,PM,2018-10-18,Adult,Cinnamon,Ground Plane,On a rock,false,false,false,false,true,,false,false,false,false,true,false,true,false
40.77558981266740000000,-73.96942403275090000000,13F-AM-1007-02,AM,2018-10-07,Adult,Cinnamon,,,false,false,false,true,true,,false,false,false,false,false,false,true,false
40.78283647352360000000,-73.96890009789550000000,20B-PM-1013-10,PM,2018-10-13,Adult,Gray,Ground Plane,,false,false,false,false,true,drank from a pond of rain water,false,false,false,false,false,false,true,false
40.76967536559860000000,-73.98045288675470000000,3A-PM-1017-05,PM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false
40.78738625100010000000,-73.95762459924550000000,29H-PM-1006-01,PM,2018-10-06,Adult,Gray,Above Ground,,false,false,true,false,false,sitting,false,false,false,false,false,false,true,false
40.78450981315670000000,-73.96660079356380000000,23C-PM-1014-03,PM,2018-10-14,Adult,Gray,Above Ground,,false,true,false,false,false,chasing (#4 across trees),false,false,false,false,false,false,false,false
40.79226455219050000000,-73.96148483609000000000,33C-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false
40.79476392414910000000,-73.95466541841460000000,38G-PM-1020-09,PM,2018-10-20,Adult,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,true,false,false,true,false
40.77688047024730000000,-73.96671140272140000000,16G-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.79218224576130000000,-73.95300355646430000000,36I-PM-1007-07,PM,2018-10-07,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.79512786223990000000,-73.96156965776730000000,35A-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.78838401047490000000,-73.96447483600100000000,28C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,false,false,false,false,false,gathering acorns,false,false,false,true,false,false,false,true
40.79148296610510000000,-73.96107055928680000000,32D-AM-1013-06,AM,2018-10-13,Adult,Cinnamon,Ground Plane,,true,false,false,true,true,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",false,false,false,false,true,true,false,false
40.78453012881630000000,-73.96884544835850000000,22A-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,trash can,false,false,false,true,false,,false,false,false,true,false,false,false,true
40.79809594710340000000,-73.95782371683590000000,40B-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,true,false
40.78097194453090000000,-73.96882712024010000000,19C-PM-1018-01,PM,2018-10-18,Adult,Gray,Ground Plane,,true,true,false,true,false,,false,false,false,false,true,false,true,false
40.79445850823670000000,-73.96170887499280000000,35A-PM-1013-06,PM,2018-10-13,Adult,Cinnamon,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,true
40.77665305792930000000,-73.97018248258720000000,14E-AM-1008-09,AM,2018-10-08,Adult,Gray,Ground Plane,,true,true,false,false,false,,true,false,false,false,false,false,false,true
40.77660435129740000000,-73.96764104974810000000,15G-PM-1019-05,PM,2018-10-19,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.77235720302360000000,-73.97087260507210000000,10F-AM-1007-02,AM,2018-10-07,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.79821622237640000000,-73.95414534658170000000,42E-PM-1012-06,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,false,true
40.78429274053270000000,-73.96836082959760000000,22B-AM-1013-04,AM,2018-10-13,Adult,Cinnamon,Ground Plane,Under bench,false,false,false,false,true,,false,false,false,false,false,false,false,true
40.77733866652800000000,-73.96805205798900000000,15F-PM-1010-06,PM,2018-10-10,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.77158778632740000000,-73.97871808707360000000,5A-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,near 65th St arch,false,false,false,false,true,,false,false,false,true,false,false,false,true
40.78956540685460000000,-73.95659058682760000000,32H-PM-1006-01,PM,2018-10-06,,Gray,Above Ground,in the European Beech,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.79924616748020000000,-73.95657597336110000000,42C-AM-1007-02,AM,2018-10-07,,,,,false,false,false,false,false,,false,true,false,false,false,false,false,false
40.79873846562560000000,-73.95515394983060000000,41D-AM-1014-01,AM,2018-10-14,Adult,Gray,Ground Plane,,false,false,false,false,true,digging,false,false,false,false,false,false,true,false
40.78135379594350000000,-73.96419718139670000000,21G-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,false,false,false,true,false,,false,false,false,true,false,false,true,false
40.77685537030820000000,-73.96928839709280000000,14E-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,true,false,false,false,true,walking,false,false,false,false,false,false,false,true
40.76995870190580000000,-73.97085496707880000000,7H-PM-1006-04,PM,2018-10-06,Adult,Gray,Above Ground,on tree knob,false,false,false,false,false,sitting,false,false,false,false,false,false,true,false
40.78251119507640000000,-73.96397440056470000000,22F-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,false,false,true,false,true,,false,false,false,false,false,false,true,false
40.77121454888280000000,-73.97302779114220000000,7F-AM-1008-16,AM,2018-10-08,Juvenile,Gray,Above Ground,tree,false,false,false,false,false,,false,false,false,false,false,false,false,true
40.77246916057180000000,-73.97105414057080000000,10F-PM-1019-05,PM,2018-10-19,Adult,Black,Above Ground,"Behind fence, tree",false,false,true,false,false,,false,false,false,false,false,false,true,false
40.77472135853870000000,-73.97615925324820000000,10A-AM-1006-04,AM,2018-10-06,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,false,false,false,false,false,walking on branch,false,false,false,false,true,false,false,false
40.79506897231350000000,-73.95440076586850000000,38F-PM-1013-05,PM,2018-10-13,Juvenile,Gray,Ground Plane,,false,false,false,false,true,"being chased,was pushed by other squirrel",true,true,false,false,false,false,false,false
40.79936813496800000000,-73.95759861613640000000,41B-PM-1014-01,PM,2018-10-14,Adult,Gray,Above Ground,Climbing tree,false,false,true,false,false,climbing (tree),false,false,false,false,false,false,false,true
40.79554189908550000000,-73.96077013704430000000,36A-PM-1013-07,PM,2018-10-13,,Gray,Ground Plane,"""FIELD""",false,true,false,false,false,chasing #8,false,false,false,false,false,false,false,true
40.77058461851210000000,-73.97640365229840000000,5C-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.79081932849810000000,-73.95892495552350000000,32E-PM-1017-03,PM,2018-10-17,Adult,Gray,Above Ground,bottom of tree,false,false,false,true,false,still,false,false,false,false,false,false,true,false
40.79176854044820000000,-73.96346234187610000000,31A-PM-1017-04,PM,2018-10-17,Adult,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,false,false,false,false
40.79784491433130000000,-73.95211101548720000000,42G-AM-1018-03,AM,2018-10-18,Adult,Gray,Ground Plane,,true,false,false,false,false,stop to look at me—then ran,false,false,false,false,false,false,false,true
40.79500136202070000000,-73.95748090282480000000,37D-PM-1014-04,PM,2018-10-14,Adult,Gray,Ground Plane,,false,true,false,false,true,chasing (a chipmunk),false,false,false,false,false,false,false,true
40.78541193425380000000,-73.96709759270700000000,24B-AM-1013-01,AM,2018-10-13,,Gray,Above Ground,,true,false,false,true,false,took nut to bury,false,false,false,false,true,false,false,true
40.77019415502730000000,-73.97113187902790000000,7G-AM-1010-02,AM,2018-10-10,Adult,Gray,Above Ground,,true,false,false,false,false,,false,false,false,false,true,false,false,true
40.77054093157030000000,-73.97632433837710000000,5C-PM-1010-13,PM,2018-10-10,Adult,Gray,Above Ground,way up a tree!,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.77551819415590000000,-73.96517544644390000000,15I-AM-1008-01,AM,2018-10-08,Adult,Gray,Above Ground,tree,false,false,true,true,false,,false,false,false,false,false,false,true,false
40.78157399593570000000,-73.97001006176020000000,19B-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,,true,false,false,false,false,flying,false,false,false,false,false,false,false,false
40.77623854706300000000,-73.97190561821400000000,13D-PM-1018-10,PM,2018-10-18,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false
40.79228961769360000000,-73.95300409235550000000,36I-PM-1007-10,PM,2018-10-07,Juvenile,Gray,Ground Plane,,false,false,false,true,false,stole (found?) an entire sandwich,false,false,false,false,false,false,true,false
40.79884873002160000000,-73.95720937605290000000,41B-AM-1010-06,AM,2018-10-10,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.79395810693820000000,-73.96077463379790000000,35B-AM-1010-01,AM,2018-10-10,Adult,Gray,Ground Plane,lawn,false,false,false,false,false,walking w/ something in mouth,false,false,false,false,false,false,true,false
40.79739233965120000000,-73.95663460464530000000,40D-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,false
40.79638267537800000000,-73.95920388876730000000,38B-PM-1018-02,PM,2018-10-18,Adult,Gray,Ground Plane,,false,false,false,false,true,burying nut,false,false,false,false,false,false,false,false
40.79508133459020000000,-73.95111187111080000000,40I-AM-1018-01,AM,2018-10-18,Adult,Cinnamon,Ground Plane,,true,false,false,false,true,begging,false,false,false,false,false,false,false,false
40.77295375730350000000,-73.97699397963820000000,7B-AM-1008-10,AM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.77633103925910000000,-73.97125278095160000000,13D-AM-1014-08,AM,2018-10-14,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true
40.77726246411120000000,-73.96711470900870000000,16G-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,,false,false,false,false,true,was hanging out w/ #2 until i showed up,true,false,false,false,false,false,false,true
40.79825979475150000000,-73.95886602502320000000,40A-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,bottom of great hill,false,false,false,true,true,,false,false,false,true,false,false,true,true
40.77618417880250000000,-73.96516015417950000000,15I-PM-1012-07,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,false,false
40.76937117999460000000,-73.97921554736890000000,3B-PM-1007-11,PM,2018-10-07,Adult,Gray,Above Ground,in tree,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.78287788922760000000,-73.96641005044360000000,21D-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false
40.77484670619690000000,-73.97462290946430000000,10B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,true,false,false,false
40.77610929729650000000,-73.97050929588920000000,13E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,false,false,true,false
40.79977081900220000000,-73.95816559494370000000,41A-PM-1007-06,PM,2018-10-07,Adult,Black,Ground Plane,,true,false,true,true,false,,false,false,false,false,false,false,false,true
40.76629923175750000000,-73.97555607862270000000,2F-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false
40.78282080838040000000,-73.96964335339860000000,20B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,false,false,false,false,true,quietly,false,false,false,false,false,false,true,false
40.78789642876800000000,-73.96647116070220000000,26A-PM-1006-06,PM,2018-10-06,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,false,false,true,false,false,,false,false,false,true,false,false,false,false
